number_of_cycles,SOH,mileage,asoc_inc,amili_inc,max_temp,min_temp,amax_temp,amin_temp,SOC_process,time,aver_vol,aver_cur,duration_process,alarm_info,one,two,three,four,five
201,140.5933333,425300,34.5,725,29,8,28,9.5,"96.0,63.0;63.0,96.0;96.0,48.0;48.0,84.0;84.0",2018/11/27 23:50,3398.707045,-511.6747463,-23310.0;1747.0;-22013.0;1887.0;,0;0;0;0;0,0.36388338,0.5464717,0.17235185,0.44125348,-0.141123
202,139.5933333,427330,28.2,406,28,6,26,8.8,"84.0,76.0;76.0,83.0;83.0,82.0;82.0,93.0;93.0,56.0;56.0,98.0;98.0,74.0;74.0,95.0;95.0,39.0;39.0,99.0;99.0",2018/11/28 23:34,3390.643491,-346.7901227,-2238.0;1796.0;-2099.0;3015.0;-30428.0;2171.0;-9829.0;1120.0;-29622.0;3107.0;,0;0;0;0;0,1.0256811,-0.36338434,0.07654445,0.41449496,1.0833074
203,139.5933333,428530,27.5,600,26,8,26,9,"99.0,80.0;80.0,100.0;100.0,49.0;51.0,86.0;86.0",2018/11/29 11:58,3381.531294,-306.2203852,-5389.0;6269.0;-30965.0;1792.0;,0;0;0;0;0,0.8374215,0.13970232,-0.000194343,-0.21078701,-0.13703315
204,139.5933333,430640,43,700,30,8,26,9,"87.0,53.0;53.0,98.0;98.0,57.0;58.0,100.0;100.0,54.0;54.0,96.0;96.0",2018/11/30 10:30,3380.938164,-309.1828264,-15633.0;2441.0;-20425.0;12178.0;-21635.0;3400.0;,0;0;0;0;0,0.34312773,0.3690626,0.07496251,0.27797857,0.23884512
205,139.5933333,432220,44,790,30,10,29,10.5,"96.0,60.0;60.0,98.0;98.0,43.0;43.0,93.0;93.0",2018/12/1 0:23,3397.700182,-509.267464,-20903.0;2031.0;-24390.0;2672.0;,0;0;0;0;0,0.6128793,0.041825123,0.007270074,0.18201946,0.08931389
206,139.465,433990,55.5,885,33,9,31.5,10.5,"93.0,45.0;45.0,99.0;99.0,39.0;39.0,96.0;96.0",2018/12/1 18:16,3391.249549,-503.9326537,-30445.0;2824.0;-28005.0;3106.0;,0;0;0;0;0,0.05440191,0.19071569,-0.001729508,-0.15992239,0.77952737
207,139.4123334,435610,35.5,810,31,11,29,11,"96.0,46.0;46.0,99.0;99.0,59.0;59.0,77.0;77.0",2018/12/2 9:05,3384.546736,-493.0394918,-21991.0;2854.0;-27447.0;1007.0;,0;0;0;0;0,-0.38400662,0.051014964,-0.91817385,0.22726144,0.046883006
208,139.4123334,436860,19.4,250,32,10,28.6,11.6,"77.0,77.0;77.0,77.0;77.0,77.0;77.0,78.0;78.0,78.0;78.0,78.0;78.0,50.0;50.0,98.0;98.0,51.0;51.0,99.0;99.0",2018/12/2 21:01,3364.77331,-280.2254326,143.0;50.0;273.0;56.0;95.0;0.0;-10701.0;2607.0;-26485.0;2556.0;,0;0;0;0;0,0.013079555,-0.09427877,0.24053793,0.22112712,0.2618309
209,139.4123334,438850,36.33333333,663.3333333,29,10,28.66666667,11,"99.0,63.0;63.0,99.0;99.0,63.0;63.0,99.0;99.0,59.0;59.0,96.0;96.0",2018/12/3 16:32,3396.394944,-449.7837683,-18439.0;1893.0;-27408.0;1894.0;-17593.0;3038.0;,0;0;0;0;0,0.32754824,-0.04244455,0.14610559,0.27710798,-0.18681781
210,139.4856667,440520,50.5,835,31,8,29.5,9,"96.0,40.0;40.0,97.0;97.0,53.0;55.0,99.0;99.0",2018/12/4 10:18,3395.232664,-510.5636044,-30371.0;3075.0;-27989.0;2280.0;,0;0;0;0;0,0.022626767,0.05012127,-0.18381721,0.053589523,0.039005015
